id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,A Chinese student in China tries to see what her friends are up to. He/She,n/a,opens up WeChat.,opens up Facebook.,opens up Snapchat.,opens up Baidu.
n/a,Sam was a night owl. Sam,n/a,stayed up late everyday.,is known to be a wise owl.,was the apex predator of the forest at night.,was keen on catching his prey.
n/a,Jasmine was born in the USA but grew up in China. She was originally from,n/a,Philadelphia,Xiamen,Edinburgh,Saarbrucken
n/a,"Just as the thief was about to be caught by the police, he",n/a,ran into a public square and disappeared amongst the crowd.,curled up near the fire.,decided now was the best time to jumpstart his tap-dancing career,shook the police officers' hands.
n/a,He is like a sheep. He is,n/a,gullible.,smart.,lazy.,funny.
n/a,"I've finished my time in office. Now, the ball",n/a,is in your court,is tonight,is fun,is coming to town
n/a,A sailor is piloting a cruise liner. He,n/a,hasn't seen land for days.,"steers the boat straight into a rock, and teleports away without the ship.","loves to sail the great ocean blue, and there are human feet attached to the ship.",flies his plane into the sunset.
n/a,A man holds up his bass. He,n/a,is on a boat.,is the lead guitarist in his band.,needs to go to the doctor.,has a large following.
n/a,Kelly is trying to fix Gigi and Tyler up. She,n/a,invited both of them to dinner.,is a technician.,called a plumber.,is great at fixing appliances.
n/a,"For the date, both of them decided to go Dutch. They",n/a,paid for their own meals,became Dutch,wanted to learn the Dutch language,Were from the Netherlands
n/a,The school was closed for the holiday. The student,n/a,stayed home and played video games.,went on strike.,took up gambling.,started an aerospace business.
n/a,"Tom live in Chicago and he wants to travel to Florida this winter, because",n/a,it's too cold here.,he loves rivers.,it's too dangerous here.,he loves mountains.
n/a,The teacher told our class about the Pythagorean Theorem. We,n/a,got ready to take a test.,were in literature class.,all went to Stanford to major in mathematics.,continued lecturing to the class.
n/a,I finally finish my homework before the deadline. I,n/a,I can watch TV finally.,made the homework exhausted.,exhaust the book.,have a wonderful night because the homework is so boring and it wastes me a lot of time.
n/a,A girl is flying a kite. It,n/a,gets stuck in a tree.,can't fly because chickens didn't evolve to fly.,flies faster than an airplane.,is a kite that can fly by itself.
n/a,Jasmine was born in the USA but lived in Germany as an adult after having grown up in China. She spent her childhood in,n/a,Xiamen,Philadelphia,Saarbrucken,Edinburgh
n/a,The papers on Sam's desk kept flying off the desk from the desk fan. He,n/a,turned off the fan.,opened the window.,held the papers in place with a forklift.,threw a paperweight at the fan.
n/a,The man was going 80mph on a 30mph road. He should,n/a,reduce his speed to the speed limit.,go an even faster speed.,go to the restaurant.,call his girlfriend after crossing the road.
n/a,During the winter the house was cold. After fixing the draft,n/a,it got warmer.,the military grew.,the draft was made of house and cold.,the paper improved.
n/a,A man runs across the court as a basketball soars through the air. The man then,n/a,"reaches out with his hand as he leaps high in the air and in one fluid motion, slams the ball through the net.",jumps in joy as the basketball shoots him into the basket.,calls his mom to tell her there is a basketball coming at him.,calls his mom and tell her he is playing basketball
n/a,John worked on project with a female partner that does all the work. He,n/a,did not do any work.,stole his food.,drowned his partner in the river.,did all of the work.
n/a,The brown dog jumped over the fence. The owner,n/a,doesn't notice.,runs after the squirrel.,ignores the cat.,watches TV in the jungle.
n/a,A farmer is riding the train into town. She,n/a,needs to buy some clothes at the mall.,feeds her pigs and cows.,drives her tractor through the passenger car.,dissolves.
n/a,The Christmas party at the university was a part of an old tradition. It,n/a,witnessed huge attendance this year,was an occasion for people to give feedback on each others' sartorial choices,makes me very nostalgic of afterlife,was one of the most hated events
n/a,Kelly's soup is here and she could not wait to dive in. She,n/a,is starving.,loves sunny weathers.,is at a swimming pool.,will take a shower.
n/a,Joseph wants to become a better software engineer. He,n/a,participates in a competitive internship program.,becomes a robot.,takes a class on building a computer.,asks his dog to teach him to become a better software engineer.
n/a,Tom builds software at his company. He,n/a,is a software engineer.,must have a high salary in his company.,writes bad code.,owns that thing.
n/a,The computer is on the table. It's,n/a,turned on and someone may be using it.,being used to query data from that table.,next to the chair of Computer Science.,running a coding marathon.
n/a,Books like this are a dime a dozen. These books,n/a,are very common.,have very rich authors,sell really well.,are worth a lot of money.
n/a,I confessed to my best friend. He,n/a,"politely turned me down, saying that he isn't interested in me romantically.",confessed that he loves pineapples on pizza.,"started singing ""Confession Song"" by GOT7.",confessed that he loves geckos.
n/a,The policeman went to the basketball courts. The policeman,n/a,played some pickup games.,ate donuts.,shot a few bad guys.,arrested the basketball.
n/a,A baby is crying. His mother,n/a,wants him to be quiet,likes him,is his mother,is laughing at him
n/a,"The spider sat in the web, waiting for its next victim. The spider",n/a,flew away in the tumultuous wind.,was colored grey and was an effective investigator.,"sat, patiently, until it trapped a deer.",isn't sure about what the future of artificial intelligence holds.
n/a,Kelly is the keyboard in the band. She,n/a,plays well.,broke a cap the other day.,types really fast.,writes a lot of books.
n/a,The steak was too large for Jimmy to take a bite off. He,n/a,went to the kitchen to get a knife.,broke it apart with a sledge hammer.,cut it into pieces with an iron nail.,got a second large steak.
n/a,"The triathlon was going well. Noah was just about to start the third leg,",n/a,cycling.,conquering enemies and eating their bones,copious consumptions of donuts.,flying to New Mexico.
n/a,The boy accidentally left his teddy bear on the bench. The boy,n/a,ran back to pick it up.,got some honey.,ran away.,hid behind his mother.
n/a,A man and a woman are going to see a movie. They,n/a,buy a large popcorn and a large drink.,go for a swim in the lake.,throw a frisbee back and forth.,begin to brew a large cup of coffee so they don't fall asleep.
n/a,Kieran brushes his hair. Kieran,n/a,is going out.,has a curly haired dog.,is bald.,steals hair from his giraffe.
n/a,A tiny horse is drawn on the wall. The horse,n/a,"was inaccurately colored by a child, with hues of pink, purple, and orange.","quickly galloped across the pasture and, later that day, ate hay.","watched its favorite show, Bojack Horseman.",decided to become sentient given the help of the alien Xenu.
n/a,I wound up some tops. I,n/a,used to play when I was a kid.,released some wind.,wounded my friend as well.,wound up buying my mom instead.
n/a,He never keeps his room clean. He,n/a,has to tidy up his room,is a very friendly person.,is well-known among the students,is a very neat guy
n/a,John raises his hand. The teacher,n/a,calls his name.,sees his hand but continues to write problems on the chalk board.,ignores him and continues to teach.,hands out exams to everyone except John.
n/a,A dog rides on a boat with his owner. A crab,n/a,is seen crawling on the bottom of a lake.,comes out of the bikers talking.,goes steams in the mesh to the green grassy area.,walks down a staircase.
n/a,It is a cold winter day. I will,n/a,wear a large down parka.,bask in the sun.,have cereal for breakfast.,imagine the infinite possibilities of the day.
n/a,I hate all cats except my cat. His name is Joe. I,n/a,like playing with Joe.,loathe Joe.,hate playing with Joe.,want to give Joe away.
n/a,"He falls asleep in the bed, he",n/a,has a bad dream.,sings a song.,stops breathing.,open his eyes.
n/a,"The Judge is flipping through documents on the case, a troubled frown on his face. At last, he",n/a,shuts the folder and nods to the clerk.,goes to the bed and faces someone.,pumps his pockets with his hands.,pulls his sleeve up to his chest.
n/a,Today my teacher taught me how to write a haiku. A haiku is,n/a,a traditional form of Japanese poetry.,my teacher's fiance.,an elementary school.,a way for me to teach the teacher how to teach.
n/a,Doug likes nachos.  He,n/a,enjoys the chips and melted cheese.,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.
n/a,"I did not take a shower last night, because I",n/a,was tired,was dirty,need to be clean,can't sleep well
n/a,People wait for their flight to take off. They,n/a,turn off their phones.,can't board the spaceship yet.,sit on the floor.,fly the plane at three thousand miles per hour.
n/a,The elephant was drinking water. The elephant,n/a,observed the zebras waiting for their turn.,is now drinking a large amount of soda from the river to quench its thirst.,drowned because it had not taken swim lessons.,snorkeled for the second time in its life.
n/a,Superman gets shot by an evil villain. Superman,n/a,remains unaffected by the bullet.,dies.,lies down and cries.,gets wounded by the bullet.
n/a,A man is driving a car. The man,n/a,man turns a corner.,dances with the car.,dances on the car.,asks him to park.
n/a,A mailman is sitting in a movie theater. He,n/a,is eating popcorn.,is eating at a large seafood buffet.,becomes a dog.,delivers mail to everyone in the audience.
n/a,Today is Friday so yesterday is,n/a,thursday,Saturday,sunday,everyday
n/a,The boy was told to quiet down in the library. He was told to quiet down because,n/a,he was playing music on his speakers.,his speakers weres turned off.,he was breathing loudly.,he was being too quiet.
n/a,Sam was getting cold feet as he walked into the stage. Sam,n/a,was very nervous.,moonwalked on stage.,wanted to get his feet warmed.,decided to jump into the crowd.
n/a,Peter’s vehicle broke down on the highway. He,n/a,called his father for help.,called the hospital for help.,sold his vehicle on the highway.,repaired the vehicle using his hair.
n/a,A man looks down to see he forgot his phone at home. The man then,n/a,"swears profusely, knowing he will no longer be able to rely on GPS to get to his destination.",gets on a plane.,calls his mom with his phone to tell her that he doesn't have his phone.,picks up his phone and calls his mom to tell her he doesn't have his phone.
n/a,Mandy plays soccer. Mandy,n/a,is the goal keeper,kicks the sun,kicks diego out of the bar,is a dog
n/a,A man found a hair in his soup. The man,n/a,politely asked for a replacement.,"ate the hair, leaving the soup untouched.",poured the soup all over the waiter's hair.,forced the waiter to drink the soup.
n/a,A crowd of runners are gathered near the starting line for a race. They,n/a,wait for the signal.,start running before the race begins.,each wash their hands.,eat their fingers.
n/a,"After taping his fingers together, Rudy realized he",n/a,might struggle to play the piano.,liked the taste of human flesh.,could no longer wear mittens.,had gained a significant amount of weight.
n/a,"People are crossing the road when the light is green, while",n/a,cars are rushing by,the light turns blue,cars stop,a children is flying across the road
n/a,i love her but she loves,n/a,others,playing basketball,drink tea,water
n/a,I had exactly 10 coins. I,n/a,lost them somewhere.,buy a nice steak dinner for 14 cents.,eat well.,buy more cents.
n/a,A person starts a bonfire at a picnic spot. The person,n/a,invites his friends to get themselves warm.,throws water on the fire.,learns that he is a Targaryen and fire cannot damage him.,plays tennis.
n/a,A man has a ball. He,n/a,Dunks the ball,Eats the ball,Breaks the ball,Jumps over the ball
n/a,one plus nine is,n/a,ten,two,nine,one
n/a,I needed to buy a jacket. I,n/a,checked out nearby outlets for something stylish.,asked my friend if I could eat his jacket.,wore six jackets to convince people to buy me more.,went into the mall and attacked people.
n/a,Jack went up the hill. Jack,n/a,planted a flag,climbed a giraffe,yooted,hurt the rocks
n/a,"But Emma was the Emperor’s Hand, recruited and trained personally by him, and he trusted her",n/a,instincts,water,food,hands
n/a,An athlete flies through the air. He,n/a,jumps over the bar and sets a record for the high jump.,is reading a newspaper.,flaps his wings to gain altitude.,flies to a tree and lands there.
n/a,Suzy was binge-watching the tenth episode of Black Mirror on Netflix. Suzy,n/a,proceeded to watch the eleventh episode.,suddenly threw the laptop she was watching Black Mirror on at her roommate who was also binging Netflix next to her.,forgot all of the Black Mirror episodes that she watched so far and had to find the first Black Mirror episode on Netflix.,fell asleep.
n/a,Spiderman sees a robbery at a bank. He,n/a,immediately jumps off the building to stop them.,climbs down,does nothing,runs away
n/a,This project is almost done. All that is left to do is to put the cherry on top. We,n/a,will finish it up tonight.,love cherries.,planning on getting some fruit punch.,will go to a pastry shop afterwards.
n/a,"Sam was very stressed about his class project. Tom said ""we're all in the same boat."" Sam",n/a,acknowledged both were struggling in the class.,traveled far on the boat with Tom.,jumped off the boat into the water.,was paddling while Tom was steering the boat.
n/a,Coding of Amit is better than that of Sam. Sam,n/a,is worse at coding than Amit.,likes to code more than Amit.,is a dog.,is better at coding than Amit.
n/a,The teenager storms off to their room and slams the door. They,n/a,don't get why no one gets them.,are happy they have such loving parents.,want to make sure the hinges of the door are lubricated.,can't wait to lie down with a good book.
n/a,Jimmy noticed his car was beginning to run out of gas. He,n/a,drove to the nearest gas station.,filled it with natural gas.,drove to the nearest police station.,filled the tank with water.
n/a,"I was on a boat, and the wind blew. My hair",n/a,became tangled.,changed color.,is straight.,was perfect.
n/a,The sisters have to do the housework together. They,n/a,will go to the mall afterwards.,want the house to get caught on fire.,want their mom to cry.,clean the counter with acid.
n/a,His dad was supposed to call him. He,n/a,called after some time.,fought his dad.,waited for his mom to call.,was sending his dad a phone.
n/a,The man puts the leaves in a trashcan. The man,n/a,stops and moves the trashcan.,immediately cooks dinner.,lays the seated child down and grabs it.,dumps something in the pot.
n/a,She has a long hair. She,n/a,likes growing her hair and can manage long hair,likes long complex problems,missed a lot of hair,likes movies with long hair
n/a,A girl is sitting by the lake eating ice cream. She,n/a,waits for her friend to join her.,lets the ice cream melt.,throws the ice cream in the lake.,really likes winter.
n/a,This winter is very cold.,n/a,I wish I lived in California.,I wish I lived in Alaska.,I wish I lived in Colorado.,I wish I lived in Chicago.
n/a,"many big brands such as LV, prada and",n/a,PUMA,BEIJING,CHINA,MICROSOFT
n/a,A woman takes her violin out of the case. The violin,n/a,rests under the chin of the woman.,needs the desperate attention to be restored.,has 6 strings.,is a prized Stradivarius Violin that many can not afford.
n/a,Bert teaches his friend Ernie basic algebra. Ernie,n/a,solves the quadratic equation.,writes a thesis paper the next day about calculus.,writes a new algorithm for finding eigenvalues.,finds the partial derivative of the Black Scholes equations.
n/a,What Josh said put Kenny in stitches. Kenny,n/a,thought it was really funny,needed to go to the hospital,was hurt by Josh,needed to get stitches from the doctor
n/a,Rose is walking her dog. She,n/a,enjoys the fresh air.,is a cocker spaniel.,wags her tail happily.,chases the squirrel on the sidewalk.
n/a,An agent jumps across the rooftops. The agent,n/a,reaches for their gun.,ties their bowtie.,steals their rooftop.,smells their rooftop.
n/a,A man on a date did not want to pay for the entire meal. He,n/a,suggested to his date that they go dutch.,ordered a second entree.,asked for the dessert menu.,drank his entire glass of wine.
n/a,The chinaware was covered in dust. Sally,n/a,carefully blew the dust away.,rinsed them with a fire hose.,painted on top of the dust.,polished them with a fork.
n/a,"I love going to the movies. The projector broke, so they replaced it with",n/a,a projector,a soda,popcorn,a pizza
n/a,A man sits under an umbrella on the beach.  He,n/a,reaches over and takes a sip of his pina colada.,puts on his helmet and returns to the field.,concludes his presentation with a Q and A session.,rows the oars aggressively.
n/a,I can't believe that once the answer was revealed,n/a,we still didn't understand the question.,we all fell through the floor.,no one had revealed to us the answer.,we wished to go pet that dog.
n/a,I have 3 apples. I give 1 apple to my friend. I have,n/a,2 left,5 apples,water,water
n/a,"Tim's father died, he is crying. Tim is",n/a,Devastated,Wierd,Happy,Fun
n/a,two plus three is,n/a,five,four,three,two
n/a,The man is scuba diving. He,n/a,sees lots of colorful organisms.,throws a frisbee back and forth with his friend.,orders the fish special at the restaurant.,watches Friends until he falls asleep.
n/a,"After his recent weight gain, Marcus",n/a,realized he needed to buy new clothes.,planned to kidnap his elder cousin.,wondered when it would next rain.,hoped the upcoming baseball season would be enjoyable.
n/a,The juggler knew that polyamory was not for them. The juggler,n/a,could no longer juggle three lovers.,juggled frequently at a local circus.,could juggle chainsaws.,was also an acrobat.
n/a,How she spent her money was a hot potato. It,n/a,was discussed often,was hot to touch,was eaten quickly,was a potato that was hot that she bought
n/a,Phil spilled the beans at work and now everyone knew the rumors were true. Phil,n/a,gave away a secret.,ate the seeds on a plant.,poured pinto beans on the floor.,order a burrito with black beans.
n/a,"Global air traffic has been rising steadily for years and 2018 is no exception. Euromonitor International's research covers 600 cities and, they say, global inbound arrivals are",n/a,expected to grow by 5% this year,covers 600 cities,expected to decrease by 5% this year,expected to decrease steadily this year
n/a,A person is feeling dizzy. he,n/a,may need medical help.,may run across the field.,may start dancing.,may cook food for six people.
n/a,My girlfriend and I couldn't bear each other anymore. Our relationship,n/a,wasn't working out.,was the perfect example of the Second Amendment.,needed the help of the Love Doctor.,needed a new kind of bear.
n/a,I defrost chicken. I,n/a,prepare the chicken and cook it.,put the chicken back in the freezer.,dip the chicken in chocolate.,run the chicken in water.
n/a,The man's rebuttal was clearly not nonsensical. The rebuttal,n/a,had some reasons associated with it.,has nothing to do with sense.,did not make any sense.,was funny.
n/a,The student studies for hours at the library. The library,n/a,helps the student concentrate and study.,has to close because the student has been studying too much.,has to close and the student must leave.,opens up a hot dog stand and has a party.
n/a,"An old man says ""It's raining cats and dogs."" The old man is",n/a,holding an umbrella.,eating soup.,doing yoga.,walking backwards.
n/a,"The boy likes programming, not art. He",n/a,like algorithm implementation.,enjoys art exhibition.,likes art history.,likes visiting art museums.
n/a,A boy is playing computer game. He,n/a,doesn't want to stop,is tired,is a boy,loves programming
n/a,Rose is on a wilderness expedition when she sees an alligator in the lake. She,n/a,screams and runs.,moves slowly along the surface of the water.,is green and reptilian.,is looking for prey.
n/a,"I heard fire alarms, then I",n/a,run out of the building,turn off fire alarm,set a fire,go to sleep
n/a,Sarah is hungry. She,n/a,buys an apple.,boards an airplane.,drives to the cemetery.,buys a skeleton.
n/a,Jane was in the heat of the moment. Jane,n/a,was overwhelmed,was on fire,felt really hot,putting food in the oven
n/a,I got a papercut. I,n/a,gasped.,bled on my friend.,threw away the paper.,blamed my friend.
n/a,The man could barely see the car in front of him during rush hour. The man,n/a,is driving in the rain.,reverses his car.,has bad hearing.,has great vision.
n/a,My chemistry teacher was all bark and no bite. My teacher,n/a,made a lot of threats but never really followed up on anything.,likes walks in the park.,really liked dogs.,ate my homework.
n/a,"Kathy has a gift in math, she",n/a,beats others in the related competition.,knows about calculus before she was born.,spends all her time reading poems.,falls asleep.
n/a,My cat recently had a litter of kittens. Each of the kittens,n/a,stayed with the mom.,was a puppy.,read a tome.,danced the salsa while eating salsa.
n/a,"The plane was taxiing on the runway. Inside, the woman",n/a,put on a pair of headphones.,began her avionics experiment.,tripped down the stairs.,took out her can of spray paint.
n/a,"Jack lost his backpack, so he decided to",n/a,buy a new one,buy a new basketball,lend his backpack to Mary,sell his backpack in the used backpack market
n/a,A mom picks her son up from school. She,n/a,asks him whether he enjoyed his day.,puts him down at home.,puts him on top of the school.,shows him how to pick himself up.
n/a,"A woman is in a kitchen, stirring food in a pot. She",n/a,"adds her gathered ingredients one a time as she talks, showing the pasta she is using.","mops a small bowl, then pours the pasta in a pot.","put the pasta into a pot with sugar, then pours added eggs.",put the chocolate mix in a pot and stuff.
n/a,The student studies for hours at the library. The library,n/a,has to close as it becomes too late in the night.,becomes a potato.,has to close because the student has been studying too much.,opens up a hot dog stand and has a party.
n/a,The pilot pulls up and levels out. The pilot,n/a,turns on the fasten seatbelt sign.,jumps from the plane.,falls to the ground.,shoots at some birds.
n/a,Sweat is pouring down Josh's face. He,n/a,is sprinting towards the finish line.,is playing video games in an air conditioned room.,"is walking on a very cool, 70 degrees Fahrenheit day and is not physically exerting himself in any capacity.",washes his hands.
n/a,Steve's flight was cancelled. He decides to,n/a,call the airline,take care of his children,drink beer,go to a strip club
n/a,I see a red light.,n/a,I hit the brakes.,I hit the gas.,I look confused.,I keep going.
n/a,The plumber started couples therapy last month. The plumber,n/a,really wants things to work out with his life partner.,fixed himself a nice gin and tonic.,decided to go expand beyond plumbing and become an electrician.,decided that he should shower more.
n/a,If we assume the root of a number is half of that number. The root of 16 is,n/a,8,1,4,2
n/a,Canada grows a lot of maple trees. Thats why Canada,n/a,sells a lot of maple syrup.,is located in North America.,has a flag that depicts three trees.,has nice people.
n/a,I don’t know how to do some of the homework problems. So I will go to,n/a,the office hour,eat,the football game,sleep
n/a,"John does not like cars, he likes bikes. He does not like them because",n/a,it has a steering wheel.,it has handlebars.,it has 2 wheels.,it has fish.
n/a,A car drove off a bridge. The car,n/a,plunged into the river.,flew away and reached the shore.,was confused.,stopped in the middle of the road.
n/a,John knows Mary believes Bill feels Mary likes him. Mary,n/a,likes Bill.,likes John.,doesn't like Bill.,likes everyone.
n/a,People of colour have started to voice their opinions in a fearless manner. They,n/a,need support and encouragement like anybody else,feel empowered by discriminatory behaviour,can do without freedom of speech,have a history of suppressive behaviour towards other groups
n/a,The actor rehearses his lines with the understudy. The actor,n/a,keeps messing up and swears out of frustration.,tells the understudy to make him a sandwich.,runs into the lake.,tries to break the understudy's leg.
n/a,"Sarah is pro-life and so is Trump. Even though Sarah doesn't agree with Trump on most issues, on this issue she",n/a,agrees with him.,disagrees with him.,doesn't know.,wants babies.
n/a,Tim thought that the test was as easy as ABC. He probably got a,n/a,hundred,seventy,thirty,one
n/a,six minus five is,n/a,one,four,six,five
n/a,The African Savannah is home to a wide variety of animals. The sea lion,n/a,is not in this ecosystem.,hunts for its prey.,lives in prides.,searches for shade in the overwhelming heat.
n/a,Don't put all your eggs in one basket. You should,n/a,diversify your equity.,invest in bitcoin.,go shopping,eat more chicken.
n/a,The bodybuilder was on a strict diet for his performance. He,n/a,had to eat very little,got scolded by the diet,got in trouble by the diet,got reprimanded by the diet
n/a,The man sold his old speakers to some students. They,n/a,went to their apartment and set them up.,sold them right back to him for less.,were bored when he decided to give a talk on campus.,decided to open a donut shop with a jukebox.
n/a,You want a new computer because your current one is slow. You should,n/a,buy a new computer,break your current one because you want a new one,buy a slower computer,want a black computer
n/a,A pilot is flying a plane. He,n/a,turns on the seatbelt sign.,"calls the control tower, tells them he likes Terminal C the bestest, and then parachutes out the plane.","experiences turbulence, turns off autopilot, and then slams his sunglasses into the front of the plane.","approaches the airport, tells the flight attendants to prepare for landing, and then transcends reality to become Dan the Living Plane."
n/a,My father and I ran into a hungry bear on our last camping trip. We,n/a,acted like we were dead.,taught it how to farm rice.,called Conditional Independence Man to help us out.,invited it to our home for dinner.
n/a,"I am 30 years old, so",n/a,I can vote.,I can not vote.,I can not sleep,I can not work.
n/a,Noah is trying to do well on his Machine Learning final.,n/a,Noah studies with his classmates and learns the material.,Noah hacks into his school's mainframe to uncover a conspiracy.,Noah gets drunk and passes out on the street.,Noah decides to drop out of school and pursue his dream of competing on Chopped.
n/a,The firefighter lit a fire in a fireplace. He,n/a,put some more wood on it.,communicated with smoke signals.,put it out.,decided to burn down the house.
n/a,A woman is wearing a purple apron. She,n/a,mixes ingredients together into a bowl and stirs it together.,goes for a run outside.,is drying his hair with a toothbrush.,holds up a pair of scissors.
n/a,I have an irrational fear of dogs because of,n/a,one bit me when I was younger.,the tiger that killed my father,it seems like they have secrets,they don't portray them accurately in film.
n/a,Kelly's going through a setback and she's rolling with it. She,n/a,will be fine soon.,is good at rolling.,thinks about going to the playground.,is craving sushi rolls.
n/a,I am scared of clowns. I,n/a,once cried when I saw one.,think they look super cute.,like scary movies.,want to go to the circus.
n/a,many hard problems occurs in database course such as,n/a,b+ trees,database,singing,play baseball
n/a,"he loves singers like Jayzhou, westlife and",n/a,Eason,lebron,kobe,jayZhou
n/a,Snow falls heavily on the neighborhood. The houses,n/a,glisten.,turn white and blow away.,melt.,freeze and shatter.
n/a,Tom jumped into the ocean excitedly while wearing a swim suit. Tom,n/a,started swimming.,got attacked by a variety of ocean creatures like the octopus and the jelly fish that happened to be swimming nearby.,forgot that he actually never swam in his entire life and started drowning.,got eaten by a shark who was swimming by.
n/a,A child has dyslexia. The child,n/a,always has trouble in writing and reading.,does not go to school.,is sad.,does not study.
n/a,John jumped off the diving board in the wrong direction. He,n/a,cracked his head open on pavement,ate a pineapple,swam with a school of fish,dived into the water
n/a,Tom Brady is as cool as a cucumber in the playoffs. He will likely,n/a,operate similarly this year,freak out this year,put on a jacket,go eat soon
n/a,You want to lose weight as your New Year's resolution. You should,n/a,workout,create new New Year's resolutions,workout once a year,lose weight by eating a lot
n/a,Billie was a dead ringer to Millie. They,n/a,looked exactly alike.,rang a bell together every day.,instantly died.,leapt through the air and caught a frisbee in their mouths
n/a,"Bob fails a math test, he",n/a,is upset about the results.,holds a party to celebrate his success.,thinks his physics teacher should be responsible for it.,eats his fingers.
n/a,"The people voted to legalize weed. Thus,",n/a,cannabis stocks skyrocketed.,weedkiller was unnecessary in the garden.,weed voted to legalize people.,weed ate weed.
n/a,I am vegetarian. My dinner,n/a,includes carrots,includes steak,visited a farm,made a garden
n/a,The prisoner decided to make his great escape. The prisoner,n/a,disguised himself as a guard and fled the prison.,broke into a song and dance routine.,took control of the prison and decided to rule it forever.,"waited until 9 months for his sentence to be over, then went home."
n/a,Sarah made her bed this morning. Sarah,n/a,put the sheets in the laundry.,doesn't have a bed.,made her bed while she was in it.,made her bed underwater.
n/a,He is like a snake. He is,n/a,ruthless.,funny.,cute.,loud.
n/a,"Someone said ""home is where the heart lies"". He",n/a,couldn't see the ambiguity in the sentence.,wants you to lie down all day at home.,couldn't figure out where he dropped his heart.,says you need to lie when you are in college
n/a,I love all my friends except Bob. I,n/a,hate hanging out with Bob.,love hanging out with Bob.,love Bob.,want to marry Bob.
n/a,A crowd of runners are gathered near the starting line for a race. They,n/a,wait for the signal to begin.,walk across the starting line.,run across the finish line.,eat their shoes.
n/a,"My cat hates other cats, but she is lonely, so I brought her",n/a,a toy that she enjoys to play,another cat that she hates,another dog that replace her position in the family,a Netflix account
n/a,A mom takes her sons to see a movie. They will most likely not see,n/a,an R-rated movie.,a G-rated movie.,a movie about superheroes.,a PG-rated movie.
n/a,A bird flies into a window. The bird,n/a,dies,falls asleep,breaks through the window,is eaten by a cat
n/a,I have a cucumber and a cactus. I will,n/a,eat the cucumber.,sit on the cucumber.,eat the cactus.,sit on the cactus.
n/a,The gang leader cuts off a sedan and rides up alongside them again. Someone,n/a,aims out the driver side window.,rides into an suv on a bluff wielding a barbecue.,checks his clock which reads four hours.,raises his arms.
n/a,Phil really wanted to get into a fight. He,n/a,had a chip on his shoulder.,didn't enjoy riding his bicycle.,crashed his car into a bridge.,instantly died.
n/a,"Money brings luxury, I am living a luxurious life because",n/a,I am rich.,I am poor.,I am not rich.,I have no money.
n/a,I was intensely playing basketball in the park so,n/a,I was sweating bullets.,I was sweating tree sap.,I was sweating blood.,I was sweating iron filings.
n/a,Some animals are naturally prey and some are naturally predators. Rats,n/a,are often hunted by cats.,often prey on little children.,are a type of dish soap.,are predators known to hunt prey.
n/a,A boy went to the school cafeteria. He,n/a,bought pizza,hit someone with his lunchbox,found his friends outside,threw away his homework
n/a,Joseph bought a dozen eggs. He,n/a,has twelve eggs.,has six eggs.,has no eggs.,has four eggs.
n/a,Most of the students were falling asleep in lecture because of the professor. The popular consensus was that the professor was,n/a,boring.,a great lecturer.,very exciting.,incredibly lively.
n/a,The Eiffel tower is in,n/a,Paris.,America.,"London, England.",the tower museum.
n/a,one plus two,n/a,three,one,two,four
n/a,John cooked three entrees for his family. He,n/a,gave the food to his relatives.,gave all the food to his dogs.,ate all the food himself.,threw the food away so it would not be wasted.
n/a,A natural disaster affected an arid city. It was probably a,n/a,drought.,earthquake.,plague.,tsunami.
n/a,"Out in the night, he heard the growl of what sounded like a large animal. He",n/a,stayed close to the fire.,started a dog racing team.,went out to pet it.,slept in the river.
n/a,A group of people are at a wedding. They,n/a,congratulate the married couple.,run a marathon.,kiss the bride and get married.,complete their homework.
n/a,The group was acting fishy. They,n/a,tried to run past the police.,ate fish at the fishery.,fished for compliments.,swam with fish.
n/a,Amelia is toasting marshmallows. Amelia,n/a,makes them golden.,burns a CD to listen to.,is an elephant.,walks to the moon.
n/a,The trees started to shed their leaves because of the,n/a,windy and cold weather.,squirrels that were hibernating for winter.,forest fires in the thick bush of Australia.,dogs barking.
n/a,Tom wants to improve his English. He,n/a,watches American talk shows.,refuses to speak English with his English teacher.,wants to improve his French.,happily quits his English course.
n/a,A helpless boy is drowning in the sea when a heroic woman sees him. The woman,n/a,jumps into the sea to rescue the child.,ignores the drowning boy.,calls 911 and asks for ice cream.,laughs at the sight of a drowning boy.
n/a,Many animals have a symbiotic relationship with another species. Elephants and schnauzers,n/a,do not.,depend on each other for survival.,hunt together.,are an example of this codependence.
n/a,Professor downey has given some very difficult questions in the test but students solved them all. Students clearly,n/a,have exceeded his expectations.,are sad that they solved the questions.,have not exceeded his expectations.,are dumb.
n/a,Josh is practicing shooting the basketball. He,n/a,misses many times.,runs around in a circle.,throws a touchdown pass.,shoots an arrow.
n/a,Kelly forgot to clock in. She,n/a,is very frustrated.,bought a new one.,is wearing her watch.,smiles at her colleague.
n/a,A man was walking his dog on the beach. His dog,n/a,dug a tunnel on beach connection to a secret island,ran far away from him chasing a gazelle.,flew a kite on the beach.,dove into the water and caught mermaids for him.
n/a,I've being eating a lot more than I used to. I will probably,n/a,gain a few pounds.,fly myself into the sky.,cook too much pasta than I can eat.,trip and fell.
