id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,"The students are taking a math class, their teacher",n/a,talks about the story of Euclid.,regards Taylor Swift one of the greatest mathematicians.,asks them to write an article about politics.,teaches them to swim.
n/a,I ate 3 pounds of ice cream.,n/a,I feel fat.,I want a gameboy.,I forgot my keys.,I like colors.
n/a,"Sunday was a bright day. On sunday,",n/a,the sun was out.,it was cloudy,it was raining,the snow fell
n/a,On the way home from work the traffic is really bad. There is a,n/a,traffic jam.,jam and jam and traffic.,jam the radio.,jam on bread.
n/a,The lecturer's dog walks into a lecture theatre. It,n/a,attracts attention from the audience.,speaks into the microphone.,teaches the class.,gives a lecture.
n/a,A person goes to a police station after getting mugged. The person,n/a,files a complaint with the police.,interrogates criminals.,cooks dinner.,flees the scene of the crime.
n/a,I played cricket only when I was young. I am old and I,n/a,I don't play cricket anymore.,I play cricket everyday.,I play in winters every year.,I play cricket on weekends.
n/a,Wilson is a smart boy and love to study math. Wilson,n/a,get high grades,eat shrimps everyday,learn hard on math but get poor grades,get up early
n/a,"In the field, the players are not in the mood for celebration. They",n/a,are losing the game.,are winning the game.,are crossing the river using a boat.,are celebrating a birthday.
n/a,There is snow in New York City right now. Australia,n/a,is in hot summer right now.,has a snow storm coming.,likes to paint.,is swimming in the ocean.
n/a,My brother just got his license revoked. He,n/a,will not be able to drive to our grandparent's house for Christmas.,is under the sea.,just started preschool.,is going to drive to our grandparent's house for Christmas.
n/a,The child is reading Harry Potter. The child,n/a,looks up a word.,is at disney world.,is eating at a restaurant.,is at the cinema watching Harry Potter.
n/a,Because she had become accustomed to the violence in her neighborhood.,n/a,she always ordered a taxi home at night.,walked home by herself so she was safe.,gave a gun to every stranger she saw.,punched people when she saw them.
n/a,"Orlando is too hot for me, so I",n/a,move to New York,go to Disney Land,go to Key West cause it's hot,put on more layers
n/a,I used to play cricket until my leg injury. Now I,n/a,play indoor sports like chess.,play cricket a lot.,play outdoor games like football.,run a lot of marathons.
n/a,A man is observing his laptop's screen. He,n/a,is reading an article from the Wall Street Journal website.,gets tackled by a police officer.,gets called by his wife for breakfast.,gets hits by a truck while crossing the street.
n/a,"I went to Apple store, then I",n/a,upgrade my phone,complain about the fruit in the store,order 10 oranges,buy 10 pounds of apples
n/a,Joe's dog kicked the bucket. Joe,n/a,was sad that his pet had died.,instantly died.,cried himself to sleep.,took the bucket away.
n/a,"The boy likes chemistry, not mathematics. He",n/a,likes to perform experiments in lab.,enjoys mathematics.,likes to solve math problems.,likes to derive equations.
n/a,Cathy said that the hotel room was sketchy. This caused Caitlyn to,n/a,stay somewhere else instead.,wonder about her marriage.,instantly die.,draw a picture of the room.
n/a,A bug that is in an app is,n/a,a glitch.,a wire.,a virus.,an insect.
n/a,"Sarah had a habit of incessantly screaming, and so",n/a,people began to avoid her company.,she enjoyed chess.,she was known as a quiet person.,she became immune to disease.
n/a,I can't believe that listening to music gave him inspiration,n/a,to write his new book.,and took away his inspiration.,and the band stopped playing.,and we all pet the dog.
n/a,Amit likes Beth but not Cathy. Amit,n/a,likes to hang out with Beth,likes no one.,likes to hang out with Cathy,likes himself.
n/a,It is raining cats and dogs outside. The weather is,n/a,rainy,foggy,cloudy,sunny
n/a,The girl is as slow as a sloth. She,n/a,takes a long time to run the mile.,lives in the jungle.,eats leaves.,runs like a cheetah.
n/a,You are waiting in line at groceries to pay for food. You should,n/a,be patient like everybody else and wait your turn,cut people if you are in a rush,talk with the manager that you want to cut the line,not pay and leave with your groceries if things are taking too long
n/a,A woman picks up the cup from the sink. She,n/a,starts washing it under hot water.,reads the documentation sheet.,pours acid in it and drinks it.,violently throws the cup to the floor.
n/a,"Bob is my father. Kate is my mother. So, Kate is Bob's",n/a,Wife,Sister,Friend,Mother
n/a,An actor plays a character that murders his wife. The actor,n/a,says it was a hard scene emotionally.,stabs a knife into a knife.,goes to jail in real life.,rings his handlebar bell.
n/a,A miner is digging for gold. He,n/a,has big dreams for his future.,"uses his pickaxe to break the rock, but finds cheese inside instead of gold.","will not settle for silver or bronze, only the dullest, most worthless gold.",instead finds King Midas in the cave and they both turn to gold.
n/a,The girl was told to sing louder during rehearsal. The girl,n/a,began to sing louder.,did not sing the song.,lowered her voice during rehearsal.,started to dance.
n/a,A woman is walking down the street with her arms around her body while her hair is blowing in the wind. She,n/a,unwraps her hands.,starts to fly with the wind.,starts to blow the wind.,blows the wind blowing away.
n/a,A jogger runs past two intersections and make a left at a stop sign. She,n/a,runs for two more miles,drives until the next intersection,makes a halting stop then turns on her break lights,signals an illegal turn then reverses
n/a,Bears in Alaska wait in the riverbank. The bears,n/a,are waiting to hunt salmons.,are good bears.,think the Alaskan river is warm.,live in the river.
n/a,"Unlike Sam, Amit likes to go out dancing. Sam",n/a,does not like to go out dancing.,is green,is blue,Likes to go out dancing
n/a,I asked my dog Sarah to drive me to school. She,n/a,didn't understand me.,started putting on a tie.,drove me to school.,refused and ate pizza instead.
n/a,A bunch of reformed hooligans that turned over a new leaf are watching a robbery take place in a bank in front of them. The hooligans,n/a,"call 911 and stand guard outside the door, waiting to ambush the robber if he leaves.",are complimenting the single potted plant outside the bank on its beauty.,steal the potted plant.,"angrily crowd around a single potted plant outside the bank, asking for money."
n/a,"Zorblax, destroyer of worlds, has a local world he can destroy or a much bigger, more enticing world he only might be able to destroy if he tried. Zorblax thinks",n/a,that a bird in hand is worth two in the bush.,that he is very hungry.,that he really likes worlds.,that the price of real estate is too high.
n/a,Kelly loves the new Harry Potter movie. She,n/a,bought a magic wand.,eats pop corn,pats her sister to sleep.,walks around.
n/a,A child scurries across the playground. The child then,n/a,"grabs a hold of the monkey bars, swinging their small body back and forth as they make their way to the other side.",calls their mom to tell her that they are on the swings.,calls their mom to order them some new glasses.,jumps on the swing as they are jumped on by the monkey bars.
n/a,A man rushes across the street with his coat over his head. He,n/a,is trying to keep dry.,is afraid of getting a sunburn.,thinks his new coat is very fashionable.,wants to run faster by making himself more aerodynamic.
n/a,"John and Johnny, professional swimmers, are swimming. They",n/a,perform backstroke,jump in the water,start drinking water,are drowning for no reason
n/a,I tried to teach my dog how to do my taxes. He,n/a,chewed up all of the forms.,successfully finished my tax forms.,said he would do it but he kept putting it off.,"lied about my financial situation, and now I'm in trouble with the IRS."
n/a,Rose is walking her dog when she runs into her neighbor. Rose,n/a,engages her neighbor in small talk.,eats treats out of her neighbor's hand.,licks her neighbor to show affection.,wags her tail joyously to greet her neighbor.
n/a,A woman is riding her bike. She,n/a,shifts to another gear when approaching the hill.,transforms into a robot.,finds an apple inside a mailbox.,levitates down the street on her bike.
n/a,We should probably hit the road. It,n/a,will take us two hours to get home.,hurts.,says we should repair the road.,is calling my name.
n/a,I am cold. I,n/a,switch off air conditioner.,wear glasses.,take off hat.,take off coat.
n/a,I needed a drink after this tough week at school. My friends and I,n/a,went out at night to kick back and relax.,went for a swim and chugged some swimming pool water.,went fishing.,visited a lake and filled up our water bottles with water.
n/a,The boy plays with his cat. The cat,n/a,bites the boy really hard.,turns on his blinker and merges into traffic.,throws a baseball with his friend.,begins to brew a cup of coffee.
n/a,My friend visited the gym yesterday. He,n/a,pumped some iron.,bit himself.,exercised enough that now he can fly.,saw Donkey Kong working out.
n/a,A child skips a stone across a pond. The water,n/a,ripples outward from each spot.,is spilled all over the carpet.,rushes violently against the rocks.,fills the glass.
n/a,I told my dog to fetch me some water from the fridge. She,n/a,just curled up next to my chair.,gave me a disparaging look.,"did fetch me water, albeit slowly.",took herself out on a walk.
n/a,Three children are watching Frozen on TV. The children,n/a,"sing the song ""Let It Go"".",put an old hat on a snowman.,freeze to death.,scream for candy.
n/a,I have an axe to grind with Amanda. I,n/a,should try to resolve my conflict with her.,should show her my axe.,should sharpen my tools.,go to a tool shop.
n/a,Tony hates pizza and he is not hungry. Tony,n/a,do nothing,eat pizza,drink coke,go to sleep
n/a,The woman is grocery shopping. She,n/a,"throws a glance at the junk food aisle, but eventually passes it.",orders a burger and fries to go.,purchases a wedding dress.,gives the customer her correct change.
n/a,A girl is going to a party. She doesn't want to be hungover so she decides to drink,n/a,water,wine,beer,vodka
n/a,The motorcyclist gets out of bed and prepares to leave by bathing using the bathroom and reading the newspaper. He,n/a,rides the motorcycle down the hall and into the elevator.,"sits on the ground beside her pants, clinging by a flannel wool.",shoots a look at her.,makes his way past it and peers out a window.
n/a,I'm on my way to the dining hall. I'am,n/a,going to eat,going to sleep,not going to the dining hall,going to play
n/a,The cop found two students smoking weed outside a school. The cop,n/a,had to give them a ticket and warned them of possible jail time.,ran away from them as fast has he could.,"sold them drugs, such as LSD and Heroine.",decided to light a cigarette with them.
n/a,"The boy likes playing games, but non-violent only. He",n/a,listens what his parents told him not to do.,likes sciences.,likes cool violent characters in games.,likes machine learning.
n/a,A football team takes the field. The students,n/a,are all cheering against their rivals.,are stressed out because they are taking so many classes.,"put their pencils down, as their exams have ended.",exchange phone numbers to make a study group.
n/a,"After finals, I truly feel that I've run the gauntlet. I",n/a,have passed through great difficulty.,am very honest with myself.,have gained excellent armor for my hands.,gradually have built up endurance for cardiovascular exercise.
n/a,My friend is taking a selfie. I,n/a,joined in the picture.,took the picture.,took the selfie away from her.,took her purse and ran away.
n/a,A paper was reviewed thoroughly and the reviews were positive. The paper,n/a,was the best paper.,was published.,was accepted.,was rejected.
n/a,A person walks his dog near a field. The dog,n/a,wags its tail.,teaches a class.,makes money.,scores a goal.
n/a,"Chad, figured out how he could have a successful career and be a good dad, Chad,",n/a,has the best of both worlds.,has an unsuccessful career.,"career, Chad, dad, figured out.",is a bad dad.
n/a,The laptop falls from the floor and there is a pillow below. The owner,n/a,catches a break.,catches a crack.,catches a fever.,catches a potato.
n/a,The temperature in Chicago is very cold. The temperature,n/a,is different in summer and winter,should be higher in winter,should be lower in summer,should not affect by season
n/a,"I broke my leg, so I can not",n/a,run.,eat.,read.,sleep
n/a,Jack prepared the dinner last night. The dinner,n/a,contained hotpot.,is Jack.,contained desk.,prepared Jack.
n/a,The trees are starting to lose their leaves. They,n/a,do this every fall.,grow underground as bulbs and are a popular food in Ireland.,grow into meatball trees.,were cut down and made into houses.
n/a,"Using the library computer, Mary books a time to see her counselor. She looks forward to",n/a,the advice and being able to unload all her thoughts,sleeping on the couches,eating noodles,"reading novels and nonfiction on her favorite topics of dealing with stress, anxiety, and life issues."
n/a,The girl drops a bowl on the floor. Her parents,n/a,yell at her.,make a new bowl out of food.,put the bowl back together using peanut butter as glue.,eat the bowl for dinner.
n/a,A girl is going to a party. She doesn't want to be hungover so she decides to drink,n/a,water.,beer.,vodka.,wine.
n/a,I started dancing in front of my friend. She,n/a,started dancing as well.,made her favorite dog dance along as well.,slapped me in the face for the unsolicited dancing.,cry
n/a,Scott is an alleged bank robber. He has,n/a,not yet been tried.,certainly committed a crime.,been found guilty.,been found innocent.
n/a,My family were on a flight home. They,n/a,got really good seats,reached the airport by cycle,had gone by ship,reached the airport and went back
n/a,My friend is drinking Starbucks with double shot. I,n/a,think he is feeling sleepy.,think he is hungry.,think he likes stars.,think he is feeling cold.
n/a,A patient is being air-lifted via helicopter to a nearby hospital. The doctor,n/a,assures him that he will be alright.,puts on a Halloween costume.,lands the helicopter.,waters his plants.
n/a,I wished I got a new tire last week. My,n/a,car just got a flat tire.,car runs on magic water.,car's radio broke,car tires are brand new.
n/a,A sword is stuck in the stone when a man named Arthur approaches it. He,n/a,pulls the sword from the stone.,throws a stone at the sword in the stone.,sticks a sticker to the sword in the stone.,tells the stone to stop being stuck.
n/a,Ethan cheated on his exam and got caught. He,n/a,will face consequences,got lucky he wasn't caught for other exams,will probably continue cheating,never cheats ever
n/a,A young girl is standing in a neon wet suit on a boat preparing to jump off. The camera pans to the rest of the people on the boat and the girl finally,n/a,holds breath in anticipation.,listens to music.,sits back down.,dives into the water. X
n/a,"The wind rushes through the trees. Below,",n/a,a couple is jogging along a path.,the pond is motionless.,a man is sleeping.,two birds are flying through the clouds.
n/a,The children are doing the monkey bars. They,n/a,learn to do them backwards.,feed the monkeys.,are going to the elephant exhibit next.,make faces at the gorillas.
n/a,A Chinese student in China tries to see what her friends are up to. He/She,n/a,opens up WeChat.,opens up Facebook.,opens up Snapchat.,opens up Baidu.
n/a,Sam was a night owl. Sam,n/a,stayed up late everyday.,is known to be a wise owl.,was the apex predator of the forest at night.,was keen on catching his prey.
n/a,Jasmine was born in the USA but grew up in China. She was originally from,n/a,Philadelphia,Xiamen,Edinburgh,Saarbrucken
n/a,"Just as the thief was about to be caught by the police, he",n/a,ran into a public square and disappeared amongst the crowd.,curled up near the fire.,decided now was the best time to jumpstart his tap-dancing career,shook the police officers' hands.
n/a,He is like a sheep. He is,n/a,gullible.,smart.,lazy.,funny.
n/a,"I've finished my time in office. Now, the ball",n/a,is in your court,is tonight,is fun,is coming to town
n/a,A sailor is piloting a cruise liner. He,n/a,hasn't seen land for days.,"steers the boat straight into a rock, and teleports away without the ship.","loves to sail the great ocean blue, and there are human feet attached to the ship.",flies his plane into the sunset.
n/a,A man holds up his bass. He,n/a,is on a boat.,is the lead guitarist in his band.,needs to go to the doctor.,has a large following.
n/a,Kelly is trying to fix Gigi and Tyler up. She,n/a,invited both of them to dinner.,is a technician.,called a plumber.,is great at fixing appliances.
n/a,"For the date, both of them decided to go Dutch. They",n/a,paid for their own meals,became Dutch,wanted to learn the Dutch language,Were from the Netherlands
n/a,The school was closed for the holiday. The student,n/a,stayed home and played video games.,went on strike.,took up gambling.,started an aerospace business.
n/a,"Tom live in Chicago and he wants to travel to Florida this winter, because",n/a,it's too cold here.,he loves rivers.,it's too dangerous here.,he loves mountains.
n/a,The teacher told our class about the Pythagorean Theorem. We,n/a,got ready to take a test.,were in literature class.,all went to Stanford to major in mathematics.,continued lecturing to the class.
n/a,I finally finish my homework before the deadline. I,n/a,I can watch TV finally.,made the homework exhausted.,exhaust the book.,have a wonderful night because the homework is so boring and it wastes me a lot of time.
n/a,A girl is flying a kite. It,n/a,gets stuck in a tree.,can't fly because chickens didn't evolve to fly.,flies faster than an airplane.,is a kite that can fly by itself.
n/a,Jasmine was born in the USA but lived in Germany as an adult after having grown up in China. She spent her childhood in,n/a,Xiamen,Philadelphia,Saarbrucken,Edinburgh
n/a,The papers on Sam's desk kept flying off the desk from the desk fan. He,n/a,turned off the fan.,opened the window.,held the papers in place with a forklift.,threw a paperweight at the fan.
n/a,The man was going 80mph on a 30mph road. He should,n/a,reduce his speed to the speed limit.,go an even faster speed.,go to the restaurant.,call his girlfriend after crossing the road.
n/a,During the winter the house was cold. After fixing the draft,n/a,it got warmer.,the military grew.,the draft was made of house and cold.,the paper improved.
n/a,A man runs across the court as a basketball soars through the air. The man then,n/a,"reaches out with his hand as he leaps high in the air and in one fluid motion, slams the ball through the net.",jumps in joy as the basketball shoots him into the basket.,calls his mom to tell her there is a basketball coming at him.,calls his mom and tell her he is playing basketball
n/a,John worked on project with a female partner that does all the work. He,n/a,did not do any work.,stole his food.,drowned his partner in the river.,did all of the work.
n/a,The brown dog jumped over the fence. The owner,n/a,doesn't notice.,runs after the squirrel.,ignores the cat.,watches TV in the jungle.
n/a,A farmer is riding the train into town. She,n/a,needs to buy some clothes at the mall.,feeds her pigs and cows.,drives her tractor through the passenger car.,dissolves.
n/a,The Christmas party at the university was a part of an old tradition. It,n/a,witnessed huge attendance this year,was an occasion for people to give feedback on each others' sartorial choices,makes me very nostalgic of afterlife,was one of the most hated events
n/a,Kelly's soup is here and she could not wait to dive in. She,n/a,is starving.,loves sunny weathers.,is at a swimming pool.,will take a shower.
n/a,Joseph wants to become a better software engineer. He,n/a,participates in a competitive internship program.,becomes a robot.,takes a class on building a computer.,asks his dog to teach him to become a better software engineer.
n/a,Tom builds software at his company. He,n/a,is a software engineer.,must have a high salary in his company.,writes bad code.,owns that thing.
n/a,The computer is on the table. It's,n/a,turned on and someone may be using it.,being used to query data from that table.,next to the chair of Computer Science.,running a coding marathon.
n/a,Books like this are a dime a dozen. These books,n/a,are very common.,have very rich authors,sell really well.,are worth a lot of money.
n/a,I confessed to my best friend. He,n/a,"politely turned me down, saying that he isn't interested in me romantically.",confessed that he loves pineapples on pizza.,"started singing ""Confession Song"" by GOT7.",confessed that he loves geckos.
n/a,The policeman went to the basketball courts. The policeman,n/a,played some pickup games.,ate donuts.,shot a few bad guys.,arrested the basketball.
n/a,A baby is crying. His mother,n/a,wants him to be quiet,likes him,is his mother,is laughing at him
n/a,"The spider sat in the web, waiting for its next victim. The spider",n/a,flew away in the tumultuous wind.,was colored grey and was an effective investigator.,"sat, patiently, until it trapped a deer.",isn't sure about what the future of artificial intelligence holds.
n/a,Kelly is the keyboard in the band. She,n/a,plays well.,broke a cap the other day.,types really fast.,writes a lot of books.
n/a,The steak was too large for Jimmy to take a bite off. He,n/a,went to the kitchen to get a knife.,broke it apart with a sledge hammer.,cut it into pieces with an iron nail.,got a second large steak.
n/a,"The triathlon was going well. Noah was just about to start the third leg,",n/a,cycling.,conquering enemies and eating their bones,copious consumptions of donuts.,flying to New Mexico.
n/a,The boy accidentally left his teddy bear on the bench. The boy,n/a,ran back to pick it up.,got some honey.,ran away.,hid behind his mother.
n/a,A man and a woman are going to see a movie. They,n/a,buy a large popcorn and a large drink.,go for a swim in the lake.,throw a frisbee back and forth.,begin to brew a large cup of coffee so they don't fall asleep.
n/a,Kieran brushes his hair. Kieran,n/a,is going out.,has a curly haired dog.,is bald.,steals hair from his giraffe.
n/a,A tiny horse is drawn on the wall. The horse,n/a,"was inaccurately colored by a child, with hues of pink, purple, and orange.","quickly galloped across the pasture and, later that day, ate hay.","watched its favorite show, Bojack Horseman.",decided to become sentient given the help of the alien Xenu.
n/a,I wound up some tops. I,n/a,used to play when I was a kid.,released some wind.,wounded my friend as well.,wound up buying my mom instead.
n/a,He never keeps his room clean. He,n/a,has to tidy up his room,is a very friendly person.,is well-known among the students,is a very neat guy
n/a,John raises his hand. The teacher,n/a,calls his name.,sees his hand but continues to write problems on the chalk board.,ignores him and continues to teach.,hands out exams to everyone except John.
n/a,A dog rides on a boat with his owner. A crab,n/a,is seen crawling on the bottom of a lake.,comes out of the bikers talking.,goes steams in the mesh to the green grassy area.,walks down a staircase.
n/a,It is a cold winter day. I will,n/a,wear a large down parka.,bask in the sun.,have cereal for breakfast.,imagine the infinite possibilities of the day.
n/a,I hate all cats except my cat. His name is Joe. I,n/a,like playing with Joe.,loathe Joe.,hate playing with Joe.,want to give Joe away.
n/a,"He falls asleep in the bed, he",n/a,has a bad dream.,sings a song.,stops breathing.,open his eyes.
n/a,"The Judge is flipping through documents on the case, a troubled frown on his face. At last, he",n/a,shuts the folder and nods to the clerk.,goes to the bed and faces someone.,pumps his pockets with his hands.,pulls his sleeve up to his chest.
n/a,Today my teacher taught me how to write a haiku. A haiku is,n/a,a traditional form of Japanese poetry.,my teacher's fiance.,an elementary school.,a way for me to teach the teacher how to teach.
n/a,Doug likes nachos.  He,n/a,enjoys the chips and melted cheese.,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.
n/a,"I did not take a shower last night, because I",n/a,was tired,was dirty,need to be clean,can't sleep well
n/a,People wait for their flight to take off. They,n/a,turn off their phones.,can't board the spaceship yet.,sit on the floor.,fly the plane at three thousand miles per hour.
n/a,The elephant was drinking water. The elephant,n/a,observed the zebras waiting for their turn.,is now drinking a large amount of soda from the river to quench its thirst.,drowned because it had not taken swim lessons.,snorkeled for the second time in its life.
n/a,Superman gets shot by an evil villain. Superman,n/a,remains unaffected by the bullet.,dies.,lies down and cries.,gets wounded by the bullet.
n/a,A man is driving a car. The man,n/a,man turns a corner.,dances with the car.,dances on the car.,asks him to park.
n/a,A mailman is sitting in a movie theater. He,n/a,is eating popcorn.,is eating at a large seafood buffet.,becomes a dog.,delivers mail to everyone in the audience.
n/a,Today is Friday so yesterday is,n/a,thursday,Saturday,sunday,everyday
n/a,The boy was told to quiet down in the library. He was told to quiet down because,n/a,he was playing music on his speakers.,his speakers weres turned off.,he was breathing loudly.,he was being too quiet.
n/a,Sam was getting cold feet as he walked into the stage. Sam,n/a,was very nervous.,moonwalked on stage.,wanted to get his feet warmed.,decided to jump into the crowd.
n/a,Peter’s vehicle broke down on the highway. He,n/a,called his father for help.,called the hospital for help.,sold his vehicle on the highway.,repaired the vehicle using his hair.
n/a,A man looks down to see he forgot his phone at home. The man then,n/a,"swears profusely, knowing he will no longer be able to rely on GPS to get to his destination.",gets on a plane.,calls his mom with his phone to tell her that he doesn't have his phone.,picks up his phone and calls his mom to tell her he doesn't have his phone.
n/a,Mandy plays soccer. Mandy,n/a,is the goal keeper,kicks the sun,kicks diego out of the bar,is a dog
n/a,A man found a hair in his soup. The man,n/a,politely asked for a replacement.,"ate the hair, leaving the soup untouched.",poured the soup all over the waiter's hair.,forced the waiter to drink the soup.
n/a,A crowd of runners are gathered near the starting line for a race. They,n/a,wait for the signal.,start running before the race begins.,each wash their hands.,eat their fingers.
n/a,"After taping his fingers together, Rudy realized he",n/a,might struggle to play the piano.,liked the taste of human flesh.,could no longer wear mittens.,had gained a significant amount of weight.
n/a,"People are crossing the road when the light is green, while",n/a,cars are rushing by,the light turns blue,cars stop,a children is flying across the road
n/a,i love her but she loves,n/a,others,playing basketball,drink tea,water
n/a,I had exactly 10 coins. I,n/a,lost them somewhere.,buy a nice steak dinner for 14 cents.,eat well.,buy more cents.
n/a,A person starts a bonfire at a picnic spot. The person,n/a,invites his friends to get themselves warm.,throws water on the fire.,learns that he is a Targaryen and fire cannot damage him.,plays tennis.
n/a,A man has a ball. He,n/a,Dunks the ball,Eats the ball,Breaks the ball,Jumps over the ball
n/a,one plus nine is,n/a,ten,two,nine,one
n/a,I needed to buy a jacket. I,n/a,checked out nearby outlets for something stylish.,asked my friend if I could eat his jacket.,wore six jackets to convince people to buy me more.,went into the mall and attacked people.
n/a,Jack went up the hill. Jack,n/a,planted a flag,climbed a giraffe,yooted,hurt the rocks
n/a,"But Emma was the Emperor’s Hand, recruited and trained personally by him, and he trusted her",n/a,instincts,water,food,hands
n/a,An athlete flies through the air. He,n/a,jumps over the bar and sets a record for the high jump.,is reading a newspaper.,flaps his wings to gain altitude.,flies to a tree and lands there.
n/a,Suzy was binge-watching the tenth episode of Black Mirror on Netflix. Suzy,n/a,proceeded to watch the eleventh episode.,suddenly threw the laptop she was watching Black Mirror on at her roommate who was also binging Netflix next to her.,forgot all of the Black Mirror episodes that she watched so far and had to find the first Black Mirror episode on Netflix.,fell asleep.
n/a,Spiderman sees a robbery at a bank. He,n/a,immediately jumps off the building to stop them.,climbs down,does nothing,runs away
n/a,This project is almost done. All that is left to do is to put the cherry on top. We,n/a,will finish it up tonight.,love cherries.,planning on getting some fruit punch.,will go to a pastry shop afterwards.
n/a,"Sam was very stressed about his class project. Tom said ""we're all in the same boat."" Sam",n/a,acknowledged both were struggling in the class.,traveled far on the boat with Tom.,jumped off the boat into the water.,was paddling while Tom was steering the boat.
n/a,Coding of Amit is better than that of Sam. Sam,n/a,is worse at coding than Amit.,likes to code more than Amit.,is a dog.,is better at coding than Amit.
n/a,The teenager storms off to their room and slams the door. They,n/a,don't get why no one gets them.,are happy they have such loving parents.,want to make sure the hinges of the door are lubricated.,can't wait to lie down with a good book.
n/a,Jimmy noticed his car was beginning to run out of gas. He,n/a,drove to the nearest gas station.,filled it with natural gas.,drove to the nearest police station.,filled the tank with water.
n/a,"I was on a boat, and the wind blew. My hair",n/a,became tangled.,changed color.,is straight.,was perfect.
n/a,The sisters have to do the housework together. They,n/a,will go to the mall afterwards.,want the house to get caught on fire.,want their mom to cry.,clean the counter with acid.
n/a,His dad was supposed to call him. He,n/a,called after some time.,fought his dad.,waited for his mom to call.,was sending his dad a phone.
n/a,The man puts the leaves in a trashcan. The man,n/a,stops and moves the trashcan.,immediately cooks dinner.,lays the seated child down and grabs it.,dumps something in the pot.
n/a,She has a long hair. She,n/a,likes growing her hair and can manage long hair,likes long complex problems,missed a lot of hair,likes movies with long hair
n/a,A girl is sitting by the lake eating ice cream. She,n/a,waits for her friend to join her.,lets the ice cream melt.,throws the ice cream in the lake.,really likes winter.
n/a,This winter is very cold.,n/a,I wish I lived in California.,I wish I lived in Alaska.,I wish I lived in Colorado.,I wish I lived in Chicago.
n/a,"many big brands such as LV, prada and",n/a,PUMA,BEIJING,CHINA,MICROSOFT
n/a,A woman takes her violin out of the case. The violin,n/a,rests under the chin of the woman.,needs the desperate attention to be restored.,has 6 strings.,is a prized Stradivarius Violin that many can not afford.
n/a,Bert teaches his friend Ernie basic algebra. Ernie,n/a,solves the quadratic equation.,writes a thesis paper the next day about calculus.,writes a new algorithm for finding eigenvalues.,finds the partial derivative of the Black Scholes equations.
n/a,What Josh said put Kenny in stitches. Kenny,n/a,thought it was really funny,needed to go to the hospital,was hurt by Josh,needed to get stitches from the doctor
n/a,Rose is walking her dog. She,n/a,enjoys the fresh air.,is a cocker spaniel.,wags her tail happily.,chases the squirrel on the sidewalk.
n/a,An agent jumps across the rooftops. The agent,n/a,reaches for their gun.,ties their bowtie.,steals their rooftop.,smells their rooftop.
n/a,A man on a date did not want to pay for the entire meal. He,n/a,suggested to his date that they go dutch.,ordered a second entree.,asked for the dessert menu.,drank his entire glass of wine.
n/a,The chinaware was covered in dust. Sally,n/a,carefully blew the dust away.,rinsed them with a fire hose.,painted on top of the dust.,polished them with a fork.
n/a,"I love going to the movies. The projector broke, so they replaced it with",n/a,a projector,a soda,popcorn,a pizza
n/a,A man sits under an umbrella on the beach.  He,n/a,reaches over and takes a sip of his pina colada.,puts on his helmet and returns to the field.,concludes his presentation with a Q and A session.,rows the oars aggressively.
n/a,I can't believe that once the answer was revealed,n/a,we still didn't understand the question.,we all fell through the floor.,no one had revealed to us the answer.,we wished to go pet that dog.
n/a,I have 3 apples. I give 1 apple to my friend. I have,n/a,2 left,5 apples,water,water
n/a,"Tim's father died, he is crying. Tim is",n/a,Devastated,Wierd,Happy,Fun
n/a,two plus three is,n/a,five,four,three,two
n/a,The man is scuba diving. He,n/a,sees lots of colorful organisms.,throws a frisbee back and forth with his friend.,orders the fish special at the restaurant.,watches Friends until he falls asleep.
n/a,"After his recent weight gain, Marcus",n/a,realized he needed to buy new clothes.,planned to kidnap his elder cousin.,wondered when it would next rain.,hoped the upcoming baseball season would be enjoyable.
n/a,The juggler knew that polyamory was not for them. The juggler,n/a,could no longer juggle three lovers.,juggled frequently at a local circus.,could juggle chainsaws.,was also an acrobat.
n/a,How she spent her money was a hot potato. It,n/a,was discussed often,was hot to touch,was eaten quickly,was a potato that was hot that she bought
n/a,Phil spilled the beans at work and now everyone knew the rumors were true. Phil,n/a,gave away a secret.,ate the seeds on a plant.,poured pinto beans on the floor.,order a burrito with black beans.
n/a,"Global air traffic has been rising steadily for years and 2018 is no exception. Euromonitor International's research covers 600 cities and, they say, global inbound arrivals are",n/a,expected to grow by 5% this year,covers 600 cities,expected to decrease by 5% this year,expected to decrease steadily this year
n/a,A person is feeling dizzy. he,n/a,may need medical help.,may run across the field.,may start dancing.,may cook food for six people.
n/a,My girlfriend and I couldn't bear each other anymore. Our relationship,n/a,wasn't working out.,was the perfect example of the Second Amendment.,needed the help of the Love Doctor.,needed a new kind of bear.
n/a,I defrost chicken. I,n/a,prepare the chicken and cook it.,put the chicken back in the freezer.,dip the chicken in chocolate.,run the chicken in water.
n/a,The man's rebuttal was clearly not nonsensical. The rebuttal,n/a,had some reasons associated with it.,has nothing to do with sense.,did not make any sense.,was funny.
n/a,The student studies for hours at the library. The library,n/a,helps the student concentrate and study.,has to close because the student has been studying too much.,has to close and the student must leave.,opens up a hot dog stand and has a party.
n/a,"An old man says ""It's raining cats and dogs."" The old man is",n/a,holding an umbrella.,eating soup.,doing yoga.,walking backwards.
