id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,It is a cold winter day. I will,n/a,wear a large down parka.,bask in the sun.,have cereal for breakfast.,imagine the infinite possibilities of the day.
n/a,I hate all cats except my cat. His name is Joe. I,n/a,like playing with Joe.,loathe Joe.,hate playing with Joe.,want to give Joe away.
n/a,"He falls asleep in the bed, he",n/a,has a bad dream.,sings a song.,stops breathing.,open his eyes.
n/a,"The Judge is flipping through documents on the case, a troubled frown on his face. At last, he",n/a,shuts the folder and nods to the clerk.,goes to the bed and faces someone.,pumps his pockets with his hands.,pulls his sleeve up to his chest.
n/a,Today my teacher taught me how to write a haiku. A haiku is,n/a,a traditional form of Japanese poetry.,my teacher's fiance.,an elementary school.,a way for me to teach the teacher how to teach.
n/a,Doug likes nachos.  He,n/a,enjoys the chips and melted cheese.,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.
n/a,"I did not take a shower last night, because I",n/a,was tired,was dirty,need to be clean,can't sleep well
n/a,People wait for their flight to take off. They,n/a,turn off their phones.,can't board the spaceship yet.,sit on the floor.,fly the plane at three thousand miles per hour.
n/a,The elephant was drinking water. The elephant,n/a,observed the zebras waiting for their turn.,is now drinking a large amount of soda from the river to quench its thirst.,drowned because it had not taken swim lessons.,snorkeled for the second time in its life.
n/a,Superman gets shot by an evil villain. Superman,n/a,remains unaffected by the bullet.,dies.,lies down and cries.,gets wounded by the bullet.
n/a,A man is driving a car. The man,n/a,man turns a corner.,dances with the car.,dances on the car.,asks him to park.
n/a,A mailman is sitting in a movie theater. He,n/a,is eating popcorn.,is eating at a large seafood buffet.,becomes a dog.,delivers mail to everyone in the audience.
n/a,Today is Friday so yesterday is,n/a,thursday,Saturday,sunday,everyday
n/a,The boy was told to quiet down in the library. He was told to quiet down because,n/a,he was playing music on his speakers.,his speakers weres turned off.,he was breathing loudly.,he was being too quiet.
n/a,Sam was getting cold feet as he walked into the stage. Sam,n/a,was very nervous.,moonwalked on stage.,wanted to get his feet warmed.,decided to jump into the crowd.
n/a,Peter’s vehicle broke down on the highway. He,n/a,called his father for help.,called the hospital for help.,sold his vehicle on the highway.,repaired the vehicle using his hair.
n/a,A man looks down to see he forgot his phone at home. The man then,n/a,"swears profusely, knowing he will no longer be able to rely on GPS to get to his destination.",gets on a plane.,calls his mom with his phone to tell her that he doesn't have his phone.,picks up his phone and calls his mom to tell her he doesn't have his phone.
n/a,Mandy plays soccer. Mandy,n/a,is the goal keeper,kicks the sun,kicks diego out of the bar,is a dog
n/a,A man found a hair in his soup. The man,n/a,politely asked for a replacement.,"ate the hair, leaving the soup untouched.",poured the soup all over the waiter's hair.,forced the waiter to drink the soup.
n/a,A crowd of runners are gathered near the starting line for a race. They,n/a,wait for the signal.,start running before the race begins.,each wash their hands.,eat their fingers.
n/a,"After taping his fingers together, Rudy realized he",n/a,might struggle to play the piano.,liked the taste of human flesh.,could no longer wear mittens.,had gained a significant amount of weight.
n/a,"People are crossing the road when the light is green, while",n/a,cars are rushing by,the light turns blue,cars stop,a children is flying across the road
n/a,i love her but she loves,n/a,others,playing basketball,drink tea,water
n/a,I had exactly 10 coins. I,n/a,lost them somewhere.,buy a nice steak dinner for 14 cents.,eat well.,buy more cents.
n/a,A person starts a bonfire at a picnic spot. The person,n/a,invites his friends to get themselves warm.,throws water on the fire.,learns that he is a Targaryen and fire cannot damage him.,plays tennis.
n/a,A man has a ball. He,n/a,Dunks the ball,Eats the ball,Breaks the ball,Jumps over the ball
n/a,one plus nine is,n/a,ten,two,nine,one
n/a,I needed to buy a jacket. I,n/a,checked out nearby outlets for something stylish.,asked my friend if I could eat his jacket.,wore six jackets to convince people to buy me more.,went into the mall and attacked people.
n/a,Jack went up the hill. Jack,n/a,planted a flag,climbed a giraffe,yooted,hurt the rocks
n/a,"But Emma was the Emperor’s Hand, recruited and trained personally by him, and he trusted her",n/a,instincts,water,food,hands
n/a,An athlete flies through the air. He,n/a,jumps over the bar and sets a record for the high jump.,is reading a newspaper.,flaps his wings to gain altitude.,flies to a tree and lands there.
n/a,Suzy was binge-watching the tenth episode of Black Mirror on Netflix. Suzy,n/a,proceeded to watch the eleventh episode.,suddenly threw the laptop she was watching Black Mirror on at her roommate who was also binging Netflix next to her.,forgot all of the Black Mirror episodes that she watched so far and had to find the first Black Mirror episode on Netflix.,fell asleep.
n/a,Spiderman sees a robbery at a bank. He,n/a,immediately jumps off the building to stop them.,climbs down,does nothing,runs away
n/a,This project is almost done. All that is left to do is to put the cherry on top. We,n/a,will finish it up tonight.,love cherries.,planning on getting some fruit punch.,will go to a pastry shop afterwards.
n/a,"Sam was very stressed about his class project. Tom said ""we're all in the same boat."" Sam",n/a,acknowledged both were struggling in the class.,traveled far on the boat with Tom.,jumped off the boat into the water.,was paddling while Tom was steering the boat.
n/a,Coding of Amit is better than that of Sam. Sam,n/a,is worse at coding than Amit.,likes to code more than Amit.,is a dog.,is better at coding than Amit.
n/a,The teenager storms off to their room and slams the door. They,n/a,don't get why no one gets them.,are happy they have such loving parents.,want to make sure the hinges of the door are lubricated.,can't wait to lie down with a good book.
n/a,Jimmy noticed his car was beginning to run out of gas. He,n/a,drove to the nearest gas station.,filled it with natural gas.,drove to the nearest police station.,filled the tank with water.
n/a,"I was on a boat, and the wind blew. My hair",n/a,became tangled.,changed color.,is straight.,was perfect.
n/a,The sisters have to do the housework together. They,n/a,will go to the mall afterwards.,want the house to get caught on fire.,want their mom to cry.,clean the counter with acid.
n/a,His dad was supposed to call him. He,n/a,called after some time.,fought his dad.,waited for his mom to call.,was sending his dad a phone.
n/a,The man puts the leaves in a trashcan. The man,n/a,stops and moves the trashcan.,immediately cooks dinner.,lays the seated child down and grabs it.,dumps something in the pot.
n/a,She has a long hair. She,n/a,likes growing her hair and can manage long hair,likes long complex problems,missed a lot of hair,likes movies with long hair
n/a,A girl is sitting by the lake eating ice cream. She,n/a,waits for her friend to join her.,lets the ice cream melt.,throws the ice cream in the lake.,really likes winter.
n/a,This winter is very cold.,n/a,I wish I lived in California.,I wish I lived in Alaska.,I wish I lived in Colorado.,I wish I lived in Chicago.
n/a,"many big brands such as LV, prada and",n/a,PUMA,BEIJING,CHINA,MICROSOFT
n/a,A woman takes her violin out of the case. The violin,n/a,rests under the chin of the woman.,needs the desperate attention to be restored.,has 6 strings.,is a prized Stradivarius Violin that many can not afford.
n/a,Bert teaches his friend Ernie basic algebra. Ernie,n/a,solves the quadratic equation.,writes a thesis paper the next day about calculus.,writes a new algorithm for finding eigenvalues.,finds the partial derivative of the Black Scholes equations.
n/a,What Josh said put Kenny in stitches. Kenny,n/a,thought it was really funny,needed to go to the hospital,was hurt by Josh,needed to get stitches from the doctor
n/a,Rose is walking her dog. She,n/a,enjoys the fresh air.,is a cocker spaniel.,wags her tail happily.,chases the squirrel on the sidewalk.
n/a,An agent jumps across the rooftops. The agent,n/a,reaches for their gun.,ties their bowtie.,steals their rooftop.,smells their rooftop.
n/a,A man on a date did not want to pay for the entire meal. He,n/a,suggested to his date that they go dutch.,ordered a second entree.,asked for the dessert menu.,drank his entire glass of wine.
n/a,The chinaware was covered in dust. Sally,n/a,carefully blew the dust away.,rinsed them with a fire hose.,painted on top of the dust.,polished them with a fork.
n/a,"I love going to the movies. The projector broke, so they replaced it with",n/a,a projector,a soda,popcorn,a pizza
n/a,A man sits under an umbrella on the beach.  He,n/a,reaches over and takes a sip of his pina colada.,puts on his helmet and returns to the field.,concludes his presentation with a Q and A session.,rows the oars aggressively.
n/a,I can't believe that once the answer was revealed,n/a,we still didn't understand the question.,we all fell through the floor.,no one had revealed to us the answer.,we wished to go pet that dog.
n/a,I have 3 apples. I give 1 apple to my friend. I have,n/a,2 left,5 apples,water,water
n/a,"Tim's father died, he is crying. Tim is",n/a,Devastated,Wierd,Happy,Fun
n/a,two plus three is,n/a,five,four,three,two
n/a,The man is scuba diving. He,n/a,sees lots of colorful organisms.,throws a frisbee back and forth with his friend.,orders the fish special at the restaurant.,watches Friends until he falls asleep.
n/a,"After his recent weight gain, Marcus",n/a,realized he needed to buy new clothes.,planned to kidnap his elder cousin.,wondered when it would next rain.,hoped the upcoming baseball season would be enjoyable.
n/a,The juggler knew that polyamory was not for them. The juggler,n/a,could no longer juggle three lovers.,juggled frequently at a local circus.,could juggle chainsaws.,was also an acrobat.
n/a,How she spent her money was a hot potato. It,n/a,was discussed often,was hot to touch,was eaten quickly,was a potato that was hot that she bought
n/a,Phil spilled the beans at work and now everyone knew the rumors were true. Phil,n/a,gave away a secret.,ate the seeds on a plant.,poured pinto beans on the floor.,order a burrito with black beans.
n/a,"Global air traffic has been rising steadily for years and 2018 is no exception. Euromonitor International's research covers 600 cities and, they say, global inbound arrivals are",n/a,expected to grow by 5% this year,covers 600 cities,expected to decrease by 5% this year,expected to decrease steadily this year
n/a,A person is feeling dizzy. he,n/a,may need medical help.,may run across the field.,may start dancing.,may cook food for six people.
n/a,My girlfriend and I couldn't bear each other anymore. Our relationship,n/a,wasn't working out.,was the perfect example of the Second Amendment.,needed the help of the Love Doctor.,needed a new kind of bear.
n/a,I defrost chicken. I,n/a,prepare the chicken and cook it.,put the chicken back in the freezer.,dip the chicken in chocolate.,run the chicken in water.
n/a,The man's rebuttal was clearly not nonsensical. The rebuttal,n/a,had some reasons associated with it.,has nothing to do with sense.,did not make any sense.,was funny.
n/a,The student studies for hours at the library. The library,n/a,helps the student concentrate and study.,has to close because the student has been studying too much.,has to close and the student must leave.,opens up a hot dog stand and has a party.
n/a,"An old man says ""It's raining cats and dogs."" The old man is",n/a,holding an umbrella.,eating soup.,doing yoga.,walking backwards.
n/a,"The boy likes programming, not art. He",n/a,like algorithm implementation.,enjoys art exhibition.,likes art history.,likes visiting art museums.
n/a,A boy is playing computer game. He,n/a,doesn't want to stop,is tired,is a boy,loves programming
n/a,Rose is on a wilderness expedition when she sees an alligator in the lake. She,n/a,screams and runs.,moves slowly along the surface of the water.,is green and reptilian.,is looking for prey.
n/a,"I heard fire alarms, then I",n/a,run out of the building,turn off fire alarm,set a fire,go to sleep
n/a,Sarah is hungry. She,n/a,buys an apple.,boards an airplane.,drives to the cemetery.,buys a skeleton.
n/a,Jane was in the heat of the moment. Jane,n/a,was overwhelmed,was on fire,felt really hot,putting food in the oven
n/a,I got a papercut. I,n/a,gasped.,bled on my friend.,threw away the paper.,blamed my friend.
n/a,The man could barely see the car in front of him during rush hour. The man,n/a,is driving in the rain.,reverses his car.,has bad hearing.,has great vision.
n/a,My chemistry teacher was all bark and no bite. My teacher,n/a,made a lot of threats but never really followed up on anything.,likes walks in the park.,really liked dogs.,ate my homework.
n/a,"Kathy has a gift in math, she",n/a,beats others in the related competition.,knows about calculus before she was born.,spends all her time reading poems.,falls asleep.
n/a,My cat recently had a litter of kittens. Each of the kittens,n/a,stayed with the mom.,was a puppy.,read a tome.,danced the salsa while eating salsa.
n/a,"The plane was taxiing on the runway. Inside, the woman",n/a,put on a pair of headphones.,began her avionics experiment.,tripped down the stairs.,took out her can of spray paint.
n/a,"Jack lost his backpack, so he decided to",n/a,buy a new one,buy a new basketball,lend his backpack to Mary,sell his backpack in the used backpack market
n/a,A mom picks her son up from school. She,n/a,asks him whether he enjoyed his day.,puts him down at home.,puts him on top of the school.,shows him how to pick himself up.
n/a,"A woman is in a kitchen, stirring food in a pot. She",n/a,"adds her gathered ingredients one a time as she talks, showing the pasta she is using.","mops a small bowl, then pours the pasta in a pot.","put the pasta into a pot with sugar, then pours added eggs.",put the chocolate mix in a pot and stuff.
n/a,The student studies for hours at the library. The library,n/a,has to close as it becomes too late in the night.,becomes a potato.,has to close because the student has been studying too much.,opens up a hot dog stand and has a party.
n/a,The pilot pulls up and levels out. The pilot,n/a,turns on the fasten seatbelt sign.,jumps from the plane.,falls to the ground.,shoots at some birds.
n/a,Sweat is pouring down Josh's face. He,n/a,is sprinting towards the finish line.,is playing video games in an air conditioned room.,"is walking on a very cool, 70 degrees Fahrenheit day and is not physically exerting himself in any capacity.",washes his hands.
n/a,Steve's flight was cancelled. He decides to,n/a,call the airline,take care of his children,drink beer,go to a strip club
n/a,I see a red light.,n/a,I hit the brakes.,I hit the gas.,I look confused.,I keep going.
n/a,The plumber started couples therapy last month. The plumber,n/a,really wants things to work out with his life partner.,fixed himself a nice gin and tonic.,decided to go expand beyond plumbing and become an electrician.,decided that he should shower more.
n/a,If we assume the root of a number is half of that number. The root of 16 is,n/a,8,1,4,2
n/a,Canada grows a lot of maple trees. Thats why Canada,n/a,sells a lot of maple syrup.,is located in North America.,has a flag that depicts three trees.,has nice people.
n/a,I don’t know how to do some of the homework problems. So I will go to,n/a,the office hour,eat,the football game,sleep
n/a,"John does not like cars, he likes bikes. He does not like them because",n/a,it has a steering wheel.,it has handlebars.,it has 2 wheels.,it has fish.
n/a,A car drove off a bridge. The car,n/a,plunged into the river.,flew away and reached the shore.,was confused.,stopped in the middle of the road.
n/a,John knows Mary believes Bill feels Mary likes him. Mary,n/a,likes Bill.,likes John.,doesn't like Bill.,likes everyone.
n/a,People of colour have started to voice their opinions in a fearless manner. They,n/a,need support and encouragement like anybody else,feel empowered by discriminatory behaviour,can do without freedom of speech,have a history of suppressive behaviour towards other groups
n/a,The actor rehearses his lines with the understudy. The actor,n/a,keeps messing up and swears out of frustration.,tells the understudy to make him a sandwich.,runs into the lake.,tries to break the understudy's leg.
n/a,"Sarah is pro-life and so is Trump. Even though Sarah doesn't agree with Trump on most issues, on this issue she",n/a,agrees with him.,disagrees with him.,doesn't know.,wants babies.
n/a,Tim thought that the test was as easy as ABC. He probably got a,n/a,hundred,seventy,thirty,one
n/a,six minus five is,n/a,one,four,six,five
n/a,The African Savannah is home to a wide variety of animals. The sea lion,n/a,is not in this ecosystem.,hunts for its prey.,lives in prides.,searches for shade in the overwhelming heat.
n/a,Don't put all your eggs in one basket. You should,n/a,diversify your equity.,invest in bitcoin.,go shopping,eat more chicken.
n/a,The chicken cannot fly. It,n/a,crosses the road.,flies.,spreads its wings and flies.,tries to fly and succeeds.
n/a,The woman enjoyed the dog days of summer. She,n/a,always liked the hottest days best.,went skiing.,sold couches.,really loved hanging out with dogs.
n/a,The man is planning a surprise party for his friend. He,n/a,will cook dinner and invite friends,will sleep for a long time,will take his dog for a walk,will take his parents to temple.
n/a,The girl encounters a raccoon in her house. She,n/a,calls animal control.,forgot to take her makeup off last night.,feeds it some cat food.,introduces it to her cat.
n/a,"Known for having a green thumb, John",n/a,maintained a beautiful garden.,tried desperately to wash his thumb.,"painted his other fingers green, too.",always ate his fruits and vegetables.
n/a,John is a good student but Jack is not a good student. John,n/a,aces all his exams.,never goes to class.,flew around the room.,likes to knit scarves.
n/a,He dismounts and lands on a blue mat. He,n/a,waves at the crowd and walks off.,throws his arms up.,throws his arms in the air.,jumps high and falls and does a series of cartwheels.
n/a,"On a warm summer day, Ally relaxes on the beach. She",n/a,pulls out a book and begins to read.,orders a cup of hot chocolate from the hotel.,waves to her friend on the ski slope.,puts on her winter coat because she's cold.
n/a,Professor Downey has given a very difficult test but all students got the full marks except John . John is,n/a,sad that he hasn't got the full marks.,happy that he hasn't got the full marks.,dancing in celebration.,super happy that he came last in the test.
n/a,JD spray paints a wall. JD,n/a,does graffiti,paints on the sky,fires all the guns,is arsonist
n/a,"Please do not throw garbage on the road,",n/a,throw it in the trash.,throw it outside the other people houses.,throw it in the other people houses.,eat it.
n/a,The man is sharing some pasta with his date. His date,n/a,looks lovingly into his eyes.,stood him up.,is not there.,has to be postponed.
n/a,The kids go on a field trip to the museum. They,n/a,get bored quickly.,were born in the museum.,spend the night at the museum and the exhibits come to life.,spend the day working on homework.
n/a,"Professor Downey has amazing knowledge in all subjects except biology. Thus, He",n/a,doesn't teach Biology at all.,loves Biology.,got an award for his expertise in Biology.,teaches Biology very well.
n/a,The city councilmen refused the demonstrators a permit. The councilmen,n/a,feared violence from the demonstrators,did not like the city,were hungry for demonstrations,liked the demonstrators
n/a,"I like to play video games, but my mom ask me to study, and I have to",n/a,listen to her.,play video games.,go to sleep.,shout at her.
n/a,"During our last few romantic dinners, my wife and I could not stop arguing. I",n/a,took it to mean that the flame would never be rekindled.,asked my fairy godparents to rewind time so I could try again.,decided to tell her about my being born on Venus.,ended up stealing her dog.
n/a,The participants of a swimming competition are gathered near the swimming pool. They,n/a,prepare to dive into the water.,complete their homework.,run away.,turn towards the river and get prepared for the swimming competition.
n/a,"Petter loves computer science, he",n/a,admires Turing very much.,thinks codes and algorithms are very boring.,dreams about being an mathematician.,doesn't feel well.
n/a,"Cricket is played with balls and bats, if you have bat and ball then",n/a,we can go for a game.,we can go to the library for playing cricket.,we can not play cricket.,we can go for dinner.
n/a,The TV show host wasn't making any sense. The host,n/a,was possibly drunk.,country organized a beautiful World Cup.,couldn't be reached after the connection hang.,disseminated the disease through society.
n/a,Matt stopped hating his boss after,n/a,his boss gave him a promotion.,his boss was promoted.,he got fired.,he quit.
n/a,A waiter is serving a table. They,n/a,describe today's specials.,jump on the entrees sitting on the table.,"eat the customer's food, say order up, and leave the table.",rip the menus in half and place them on the table
n/a,eight minus seven is,n/a,one,two,seven,eight
n/a,Alice is studying for a math test. John is going to exercise. Alice,n/a,works on algebra problems.,puts on her running shoes.,changes into gym shorts.,fills her water bottle.
n/a,A man dances across the stage as his partner twirls. The man then,n/a,greets her with his hand as he spins her into his arms as the audience cheers in delight.,calls his mom to tell her that he is dancing.,plans a party.,calls his mom to tell her to watch a movie.
n/a,The motorist is on the speedway. He is,n/a,on his way home from work.,is at the restaurant.,trying to find police cars.,walks his cat.
n/a,We realized that the paper this morning was full of old uninteresting news stories. We decided to,n/a,throw it away.,scrutinize it to every last detail.,frame it to the living room wall.,fold it a few times.
n/a,Emma is a social worker who recently experienced harassment at work. She,n/a,confides about the ordeal in her partner,is crazy about shopping,is advised to not discuss it,is happy about it
n/a,People in Australia are fond of cricket. They,n/a,have had great players like Ponting and Gilchrist,watch it from the comfort of their palaces,would like Sachin to bat from their side,can't bowl in a straight line
n/a,Axiom says a square can be calculated by side times side. A square,n/a,with side equals 2 is 4,with side equals 2 is 5,with side equals 2 is 7,with side equals 2 is 6
n/a,Adam said that his phone battery had run out. This caused Alfred to,n/a,go to the store to buy another one.,try and catch it.,burn down a building.,instantly die.
n/a,An officer pulls over a speeding car. The officer,n/a,tells the driver to stay in the car.,asks the driver for racing tips.,gets into the car with the driver.,drives away in the car.
n/a,"Khaleed said, ""I'm in love with the moment"". He is often",n/a,talking about living in the present in his songs,known for being derogatory towards women and children who live in the moment,dreaming about a dystopian world where he is more outspoken and does not love the moment,smashing cakes on the faces of young girls during his concert
n/a,"Tina likes nuts, but she is full now. Tina",n/a,doesn't eat nuts now.,orders a bowl of nuts.,never eats nuts.,eats a lot of nuts.
n/a,A boy is running across a field. He,n/a,gets tired and begins to slow down. ,tosses and turns as he tries to fall asleep.,smiles because his shirt is bright red.,is trying to move as slowly as possible.
n/a,It is not safe to remove a brake from a bicycle because,n/a,you can't stop fast.,our glorious leader said so.,it's no style.,no one cares if you do.
n/a,Her friends got everything on a silver platter. Her friends,n/a,didn't have to work for anything,made sure they got anything they wanted on a plate,received their meal on an elegant platter,got their dinner on a silver plate
n/a,A dog is inside an airport. The dog,n/a,wags its tail.,makes money.,teaches a class.,shows the flight crew its boarding pass.
n/a,My friend had the hiccups. She,n/a,held her breath.,cried until they went away.,chugged water until she died.,thought she was going to die.
n/a,The yoga instructor wanted to increase attendance for their classes. The yoga instructor,n/a,offered free sessions to peak peoples interests.,stopped teaching yoga.,threw yoga balls at anyone who challenged her creative spirit.,balanced work life with her personal life.
n/a,A woman jumps out of a plane and pulls the rip cord. The woman,n/a,continues falling at the same speed since something went wrong.,flaps her arms like a bird to generate uplift and land safe.,catches the frisbee as she literally runs to the ground.,stays the whole day in the air.
n/a,"If one wants to get better at squash, one should",n/a,practice with a team.,eat squash.,look at a cook book for squash recipes.,play with squash.
n/a,That was so easy. some would say it was a,n/a,piece of cake,hard task.,fair game,tiresome burden
n/a,I went pumpkin picking with my boyfriend. I,n/a,took pictures of us with our pumpkin.,ate all the seeds.,picked and cut a watermelon off the vine.,smashed the pumpkins on the ground.
n/a,Joe said that the test was easy. This caused Bob to,n/a,study for other things instead.,run away in confusion.,instantly die.,think about his marriage.
n/a,Cycling is better than jogging. It is better because it is,n/a,safer for your knees.,very dangerous.,done underwater.,done on a treadmill.
n/a,"Fish live in water, lions cannot. This is because",n/a,fish have gills.,they can run fast.,water is a liquid.,they can fly.
n/a,A man skis down the slope as the wind whistles by him. The man then,n/a,"turns to his left, carving his edges into the snow as he maneuvers around the gate.",turns left in the snow as the gates ski right around him.,calls his mom to tell her that he has skis.,calls his mom to tell her he is skiing up a mountain.
n/a,This summer is way too hot.,n/a,I wish I lived in Alaska.,I wish I lived in Puerto Rico.,I wish I lived in Mexico.,I wish I lived in California.
n/a,"A man cleans a small board of wood with a cloth in a workshop. Then, the man",n/a,uses flannel to polish the wood board thoroughly.,serves the two shoes.,removes the ski and walks up before walking to the finished roof.,adds orange chopping brush.
n/a,A waiter serves the food onto the dining table. The waiter,n/a,then fills each wine glass with champagne,dumps a bucket of salt onto the served food,serves the food onto the dining table,eats the food that the guests had ordered
n/a,You want to learn how to create a website. You should,n/a,learn how to code,learn how to create a computer first,search the web how to learn,learn which websites are successful
n/a,The student studies for hours at the library. The library,n/a,has to close because it was too late and the student goes home to study more.,opens up a hot dog stand and has a party.,has to close because the student has been studying too much.,becomes a potato.
n/a,Joe said that the restaurant was bad. This caused Bob to,n/a,eat elsewhere.,instantly die.,take off his shirt.,attempt a handstand.
n/a,"At the concert,",n/a,security confronted a pickpocket.,a baseball team played catch.,the band drove home.,the crowd played on the monkey bars.
n/a,The counsellor argues that OJ had big hands which won't fit in the gloves. He,n/a,asked them to examine it,proceeded to dance in front of the jury,forgot to mention his birthday,didn't care about Nicole
n/a,"George H.W. and Barbara Bush spent more than seven decades of their lives together until her passing on April 17, 2018. George H.W.",n/a,grieved for his wife's death.,always eat breakfast with his wife.,had to live alone without her wife.,didn't expected his wife would die on April 17.
n/a,Rose is driving when it begins to rain. The rain,n/a,quickly turns into thunderstorms.,stops at a stop sign.,signals a left turn.,turns on the windshield wipers.
n/a,"Someone said ""home is where the heart lies"". He",n/a,believes you will always be happy when you consider a place home.,couldn't figure out where he dropped his heart before coming home.,wants you to lay your heart down at home.,says you need to leave your heart at home when you go out.
n/a,A police officer sits is on patrol. He,n/a,looks out for any problems in the community.,"writes a speeding ticket for himself, puts handcuffs on himself, and abandons his patrol.","finds a crime, but decides to eat a sandwich because it's bad to skip lunch while on patrol.","sends a cat to jail for no apparent reason, and ends his patrol."
n/a,Professor Downey has solved the most difficult NLP problem. He is,n/a,happy to have solved it.,sad that it was a difficult problem.,sad that he has solved the difficult problem.,very sad.
n/a,A woman walks through the store. Her,n/a,son keeps asking for candy.,shopping cart is made out of popsicle sticks.,grocery list is two hundred feet long.,grandma loves to bake pies.
n/a,The water in the glass was filled to the brim. The water,n/a,was colored red with artificial dyes.,was spilling its emotions to the other items in the refrigerator.,was drowned in the ocean later that year.,was splashing the orange juice while playing in the pool.
n/a,Today I learned money doesn't grow on trees. I,n/a,need to save my money.,climb the tree.,wasted my money.,bought more clothes.
n/a,It has been very cloudy lately. Ellie,n/a,thinks it will rain soon.,is going to take out the clouds so it's sunny.,needs her sunglasses.,is going to put the sun in the sky.
n/a,Sam said the test was a piece of cake. Sam,n/a,thought the test was easy.,ate some chocolate cake for the test.,found it strange the test was vanilla cake.,found the test very difficult.
n/a,"You should review the exam. Otherwise, you",n/a,can not pass the exam.,can get good grades.,can be satisfied.,can pass the exam.
n/a,Chris hated going to the local park with his dog. He was always worried because,n/a,his dog was much smaller than the others.,the dogs would always let their owners run without a leash.,the owners would always play in the mud.,the grass at the park would attack the dogs.
n/a,I saw my friend and called out to him. He,n/a,was so surprised he let go of his dog's leash.,waved back with three of his arms.,disappeared out of thin air.,responded in Klingon.
n/a,Many types of frogs are poisonous. An elephant,n/a,is not one of them.,can poison a predator with its tongue.,can blend in with its surroundings.,is one of them.
n/a,The woman stretches her arms one side first then the next one. The woman,n/a,"put her arms in front of her, then stretch out and turned around.","dismounts and do tricks and flip overboard, while still swinging.",dismounts her leg and stands on the bar.,finishes shaving and dries his face with his hands.
n/a,"I am hungry, so I should",n/a,eat food.,not eat food.,sing a song.,play football.
n/a,I am feeling clumsy today. I think,n/a,I didn't get enough sleep.,it is the end of the world.,have a lot of troubles.,I am secretly a panda.
n/a,A man jumps into the ocean. He,n/a,goes underwater cavediving,swims on the back of a shark and coordinates a flash dance with dolphins,swallows an entire school of fish,evaporates the entire sea
n/a,A dog runs across a field as a frisbee flies through the air. The dog,n/a,catches the frisbee.,scores a touchdown.,teaches a class.,makes money.
n/a,Jill had her head in the clouds while taking the test. Jill,n/a,was not concentrating on the test.,was focused on the test.,watched the movie Cloudy with a Chance of Meatballs.,flew an airplane in the sky.
n/a,A dog runs across a field as a frisbee flies through the air. The dog,n/a,leaps through the air and catches frisbee,is pooping on the ground,jumps and twirls,curls up next to the fire.
n/a,A girl polishes her car. It,n/a,has a new coat.,changes lanes.,stops at a red light.,signals a left turn.
n/a,John wanted to buy the new car but it costed an arm and a leg. John,n/a,couldn't afford the car.,cut off his arm and leg.,bought body parts.,decided to go for a run.
n/a,Nacho is a popular menu in Mexican restaurants. It,n/a,goes well with Salsa sauce.,is not a Mexican food.,is the owner's favorite food.,was served in Chinese restaurants.
n/a,"Joe tried not to tell the secret, but he wasn't good at that sort of thing, so he",n/a,let the cat out of the bag.,talked about how much he hates his family.,really enjoys the weather today.,instantly died.
n/a,He does not buy a humidifier. He,n/a,had one,doesn't like the taste of humidifier,is walking on the street,think it is raining outside
n/a,All my professors are nice except Professor ABC. Professor ABC,n/a,is very strict.,treats students very well.,has best teaching style.,is fair to all students.
n/a,Your best friends and you usually see,n/a,eye to eye,the worst in people,the best in people,god together
n/a,The student studies hard into the night. He,n/a,props his head up so he doesn't fall asleep.,told the customer that it would be $3.99.,throws a frisbee with his friend.,turns on his blinker and merges into the right lane.
n/a,She was drowning in a sea of frustration. To help the situation she,n/a,called a friend on the phone,dived deeper into the pool.,tried to swim out of the ocean.,drank some water
n/a,Alex bought a Christmas card from CVS. Alex,n/a,wrote a holiday message in the card.,started ripping the Christmas card into 100 pieces in front of the CVS employee.,threw the Christmas card at one of the CVS employees because he was suddenly angry.,immediately threw out the Christmas card into the trash can in front of CVS.
n/a,Two people are at a tennis court. They,n/a,start playing against each other.,cook dinner.,appear for a hearing and testify.,flee the scene.
n/a,"Joseph bought three tickets to the game, but he lost one on his way home. He",n/a,only has two tickets now.,has four tickets.,only has one ticket now.,has all three tickets.
n/a,A taxi driver pulls over for a client. He,n/a,asks him where they want to go.,will soon weave through traffic and give one million dollars to the client.,"turns the wheels, puts the car into park, and tackles the client.",will drive around the city at the speed of sound just to spite the client.
n/a,A bug that makes you ill is,n/a,a virus.,a wire.,an insect.,a glitch.
n/a,A plane starts in Germany for a ten hour flight. The plane,n/a,will fly to Chicago.,drives on the highway.,is build in a kindergarten.,has no engines.
n/a,I am a vegan. I like to,n/a,save the animals,run,eat steak,throw vegetables
n/a,"Books are good, but videos aren't. They are better because they have",n/a,better stories.,more fish.,more video.,more actors.
n/a,A man and his husband love each other. They,n/a,think the political climate makes this unacceptable.,think so.,begin to circumnavigate.,are not sure.
n/a,As Chris and Sam sprinted away from their attackers they kept turning around to get a better look at them. All of a sudden when looking behind him Sam,n/a,fell on the ground.,decided to stop for a beer.,decided that running looked uncool.,sent the attacker to jail.
n/a,The baby cried because her bottle was empty. It,n/a,was out of milk.,was out of alcohol.,needed more crayons.,needed more diapers.
